recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Lean Chicken Soup","20260427090000_recipes_schema_and_seed.sql",apply,7,340,617,81,36,73.4,28,59.2,6,9.4,""
"Edamame & Quinoa Power Salad","20260427090000_recipes_schema_and_seed.sql",apply,7,440,767,74,22,42.8,58,102.4,14,24.6,""
"Asian-inspired Egg Whites with Cauliflower Rice & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,218,265,22,19,20.4,10.4,13.4,10.5,15.8,""
"Garlic & chilli Bacon (Smoked Back) with Cabbage (Shredded) & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,545,444,-19,36,33.3,6.3,11.3,40.3,31,""
"Lemon herb Bacon (Smoked Back) with Cauliflower Rice & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,586,464,-21,35.6,31.8,9.4,12.8,44.6,34,""
"BBQ Salmon Fillet with Cauliflower Rice & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,322,318,-1,32,26.6,7,8.7,18.8,19,""
"Lemon herb Egg Whites with Cabbage (Shredded) & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,224,267,19,18.2,19.8,11,24.4,11.1,11.4,""
"Asian-inspired Salmon Fillet with Cauliflower Rice & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,468,581,24,31.6,27.3,5.2,10.2,35.8,47.9,""
"Garlic & chilli Whole Eggs with Broccoli Florets & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,319,317,-1,25.4,28.2,8.9,12.5,19.3,18,""
"Indian-spiced Firm Tofu with Courgette Noodles (Zoodles) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,322,327,2,25.6,27.3,11.3,14,21,21.3,""
"Garlic & chilli Salmon Fillet with Broccoli Florets & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,377,383,2,37.2,32.8,7.9,10.6,22.5,22.9,""
"Moroccan-spiced Egg Whites with Cabbage (Shredded) & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,246,266,8,14.4,17.4,6.8,11.5,16.5,18,""
"Asian-inspired Bacon (Smoked Back) with Broccoli Florets & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,588,515,-12,36.4,33.4,12,14.2,43.9,38.4,""
"Mediterranean Bacon (Smoked Back) with Courgette Noodles (Zoodles) & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,577,463,-20,34.4,30.4,8.7,13.1,44.6,34.2,""
"Moroccan-spiced Bacon (Smoked Back) with Cauliflower Rice & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,586,469,-20,35.6,32.5,9.4,13.4,44.6,34.3,""
"Moroccan-spiced Firm Tofu with Cabbage (Shredded) & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,334,342,2,25.4,28.4,12.6,17.4,21.7,21.7,""
"Italian herb Egg Whites with Broccoli Florets & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,286,348,22,15.4,16.5,8.4,11.8,20.6,27.5,""
"Moroccan-spiced Salmon Fillet with Cabbage (Shredded) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,468,469,0,31,25.8,6,9.3,35.7,35.9,""
"Indian-spiced Bacon (Smoked Back) with Cauliflower Rice & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,545,448,-18,36.6,32,5.5,14.4,40.4,30.2,""
"Lemon herb Firm Tofu with Courgette Noodles (Zoodles) & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,385,390,1,21.4,24.3,6.9,10.1,31,31.1,""
"Garlic & chilli Salmon Fillet with Cauliflower Rice & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,411,417,1,35.6,31.3,9.4,13.1,26.6,26.9,""
"Creamy herb Halloumi with Courgette Noodles (Zoodles) & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,627,707,13,33.4,29.1,5.1,19.7,51.4,57.7,""
"Peri-peri Salmon Fillet with Broccoli Florets & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,365,383,5,33.4,30.4,8.4,11.6,22.7,24.2,""
"Indian-spiced Salmon Fillet with Courgette Noodles (Zoodles) & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,460,470,2,31,28.4,4.5,6.7,35.8,36.6,""
"Italian herb Firm Tofu with Broccoli Florets & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,339,351,4,26,27.9,14.2,19.9,21.9,21.7,""
"Moroccan-spiced Egg Whites with Cauliflower Rice & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,281,301,7,14.8,17.7,6,10.9,20.5,22,""
"Asian-inspired Bacon (Smoked Back) with Broccoli Florets & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,540,483,-11,33.4,31.1,8.4,11.1,40.7,36.6,""
"Garlic & chilli Egg Whites with Cauliflower Rice & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,189,203,7,22.4,24.6,6,12.6,6.3,6.6,""
"Moroccan-spiced Salmon Fillet with Courgette Noodles (Zoodles) & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,427,435,2,31.1,28.1,4.5,7.7,32,32.5,""
"Peri-peri Egg Whites with Broccoli Florets & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,196,204,4,23,25,8.4,13,6.4,6.7,""
"Cajun Egg Whites with Cauliflower Rice & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,220,366,66,19.8,22,10,18.4,10.5,25.7,""
"Garlic & chilli Whole Eggs with Courgette Noodles (Zoodles) & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,339,394,16,20,20.9,10,15.1,24.2,29.4,""
"Italian herb Firm Tofu with Cauliflower Rice & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,245,260,6,22.4,25.3,9.4,13.5,14,15.2,""
"Asian-inspired Egg Whites with Courgette Noodles (Zoodles) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,186,234,26,14.6,16,5.9,7.5,10.1,15.5,""
"BBQ Bacon (Smoked Back) with Cabbage (Shredded) & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,497,377,-24,31.4,27.3,7.8,11.3,36.7,26.2,""
"Peri-peri Salmon Fillet with Cauliflower Rice & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,322,323,0,32,26.9,7,10.7,18.8,19.1,""
"Mexican-style Egg Whites with Courgette Noodles (Zoodles) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,217,221,2,18.2,19.2,9.5,11.4,11.3,11.9,""
"Mexican-style Mackerel with Broccoli Florets & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,585,589,1,31.3,32.9,9,10.6,46.3,47.1,""
"Asian-inspired Chicken Breast with Cauliflower Rice & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,393,585,49,54.8,57.5,6.3,14.4,14,34.2,""
"Mexican-style Chicken Thigh (Skin-On) with Courgette Noodles (Zoodles) & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,535,566,6,43.5,47.8,10.1,14.6,35.3,36.5,""
"Creamy herb King Prawns with Shirataki Noodles & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,323,432,34,41.3,36.9,10.8,14.6,13,27.4,""
"Indian-spiced Pork Tenderloin with Turnip (Roasted) & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,375,385,3,40.4,43.6,9.1,11.6,17.4,18.2,""
"Asian-inspired Haddock Fillet with Cauliflower Rice & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,373,384,3,33.7,28.8,6,8.5,21.5,26.7,""
"BBQ Haddock Fillet with Courgette Noodles (Zoodles) & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,409,382,-7,32.7,27.5,5.1,10.1,26.2,26.2,""
"Garlic & chilli Turkey Breast with Celeriac Mash & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,444,442,-0,45.4,40.3,11,17.5,22.8,24,""
"Cajun Lamb Leg with Swede (Mashed) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,551,570,3,38.5,39.8,9.9,13.6,38.7,40.7,""
"Creamy herb Haddock Fillet with Turnip (Roasted) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,237,264,11,32.9,27.5,10.7,12,4.8,12,""
"Peri-peri Beef Ribeye Steak with Shirataki Noodles & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,615,594,-3,40.3,41.5,10.3,15.4,46.5,42.3,""
"Peri-peri Chicken Thigh (Skin-On) with Shirataki Noodles & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,604,576,-5,36,40.3,5,10.1,47.5,41.7,""
"Italian herb Cod Fillet with Broccoli Florets & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,359,340,-5,43.6,39,14,16.1,14,15.5,""
"Peri-peri Egg Whites with Turnip (Roasted) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,234,248,6,26.9,29.6,9.5,15.9,7.7,8,""
"Indian-spiced Pork Tenderloin with Cauliflower Rice & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,481,628,31,41,43.3,6,14.4,30.6,46,""
"Garlic & chilli Lamb Leg with Courgette Noodles (Zoodles) & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,486,523,8,38.9,41.1,5.1,12.1,34.1,35.7,""
"Peri-peri Pork Tenderloin with Broccoli Florets & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,416,422,1,48.1,51,14,16.3,18.2,18.6,""
"Mediterranean Sardines with Broccoli Florets & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,515,531,3,44.6,46.5,14.3,20.2,30.4,31.3,""
"Creamy herb Beef Ribeye Steak with Broccoli Florets & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,576,612,6,40.3,41.5,10,12.1,41.9,44.8,""
"Lemon herb Pork Tenderloin with Turnip (Roasted) & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,375,438,17,40.4,41.4,9.1,13.4,17.4,24.3,""
"Lemon herb Whole Eggs with Turnip (Roasted) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,321,302,-6,20.9,21.7,12.3,13.2,20.4,18.3,""
"Cajun Firm Tofu with Turnip (Roasted) & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,350,375,7,27.9,29.3,12.4,22,22.1,22,""
"Indian-spiced Lamb Leg with Cabbage (Shredded) & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,460,504,10,44.1,45.5,12.5,21.5,26.1,28.1,""
"Cajun Mackerel with Cabbage (Shredded) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,438,455,4,31.3,34.2,8,14.2,29.5,30.2,""
"Mediterranean Pork Belly (Slow-Roasted) with Cabbage (Shredded) & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,723,933,29,29.8,18,8,17.5,61.1,88.3,""
"Mediterranean Whole Eggs with Broccoli Florets & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,508,501,-1,22.3,22.9,10.7,15,41.9,40,""
"Italian herb King Prawns with Broccoli Florets & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,351,331,-6,43.1,39.5,14.6,15.8,14.4,14.8,""
"Mediterranean Halloumi with Broccoli Florets & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,752,722,-4,43.4,39.3,9.8,14.6,59.7,58.5,""
"Peri-peri Salmon Fillet with Swede (Mashed) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,593,592,-0,38.5,32.6,9.9,12.6,44.7,44.9,""
"Lemon herb Firm Tofu with Celeriac Mash & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,390,422,8,27.8,28.6,14.7,23.9,25.8,26.4,""
"Cajun Bacon (Smoked Back) with Celeriac Mash & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,740,611,-17,45.6,39.8,16,22.1,54.8,42.6,""
"Mexican-style Firm Tofu with Turnip (Roasted) & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,350,363,4,27.9,29.3,12.4,18.5,22.1,22.4,""
"Peri-peri Firm Tofu with Swede (Mashed) & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,419,416,-1,31.8,32.6,18.4,23,26.2,25.9,""
"Moroccan-spiced Mackerel with Celeriac Mash & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,521,539,3,35.3,38,16.3,19.5,34.7,36.1,""
"Peri-peri Pork Belly (Slow-Roasted) with Turnip (Roasted) & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,753,945,25,28.4,17.2,9.1,13.2,64.6,91.9,""
"Moroccan-spiced King Prawns with Swede (Mashed) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,386,366,-5,37.2,33,10.2,13.1,20.9,21.4,""
"BBQ Firm Tofu with Celeriac Mash & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,364,369,1,28.8,29.2,15,17.8,22.3,22.8,""
"Mediterranean Sardines with Turnip (Roasted) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,446,447,0,39.9,40.8,9.4,11.8,25.1,26.1,""
"Moroccan-spiced Mackerel with Celeriac Mash & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,482,492,2,30.8,31.2,11.7,14.9,33.2,34.3,""
"Asian-inspired Sardines with Broccoli Florets & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,515,564,10,44.6,46.6,14.3,15.6,30.4,36.7,""
"Indian-spiced Pork Belly (Slow-Roasted) with Swede (Mashed) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,830,1032,24,28.2,18.2,9.9,15.8,73,100.7,""
"Peri-peri Whole Eggs with Broccoli Florets & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,394,377,-4,31.8,32.2,10.7,13.7,24.2,22.1,""
"Peri-peri Chicken Thigh (Skin-On) with Shirataki Noodles & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,467,572,22,37.5,42.8,6,13.6,31,39.9,""
"Lemon herb Haddock Fillet with Broccoli Florets & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,351,313,-11,38.6,32.7,14.3,15.6,14.8,15,""
"Garlic & chilli Chicken Thigh (Skin-On) with Cabbage (Shredded) & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,497,465,-6,43.6,48.1,7.3,11.2,30.9,25,""
"Mexican-style Sardines with Cauliflower Rice & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,607,620,2,53.4,54.6,13.1,19.2,36.4,38,""
"Garlic & chilli Chicken Breast with Courgette Noodles (Zoodles) & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,458,478,4,64.7,66.9,6.1,13.1,16.7,16.9,""
"Indian-spiced Tuna Steak with Turnip (Roasted) & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,412,419,2,60.8,54.4,10.1,23,12.4,11.7,""
"Lemon herb Halloumi with Swede (Mashed) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,865,819,-5,57.3,49.4,18.4,24.9,62,60.5,""
"Peri-peri Bacon (Smoked Back) with Swede (Mashed) & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,970,782,-19,46.2,38.6,11.5,14.5,80.6,64.8,""
"Mediterranean Salmon Fillet with Broccoli Florets & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,565,590,4,59.8,52,10.4,19.8,32.6,32.8,""
"Creamy herb King Prawns with Cabbage (Shredded) & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,496,679,37,44.8,40,8.4,16,30.7,53.2,""
"Garlic & chilli Egg Whites with Cabbage (Shredded) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,326,346,6,27.4,30.3,15.6,22.8,16.7,17,""
"Garlic & chilli Pork Tenderloin with Cauliflower Rice & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,410,434,6,51,54.2,8,13.6,16.9,18.4,""
"Asian-inspired Pork Belly (Slow-Roasted) with Swede (Mashed) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,879,1147,30,35.4,21.4,12.7,15.2,73.4,111.2,""
"Lemon herb Pork Belly (Slow-Roasted) with Swede (Mashed) & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,992,1255,27,33.8,19.9,11.5,25,87.5,120.3,""
"Asian-inspired Halloumi with Shirataki Noodles & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,920,947,3,48.6,41.7,6.5,17.5,76.8,80.3,""
"Italian herb Chicken Breast with Courgette Noodles (Zoodles) & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,472,476,1,57.9,60.7,6.5,8.2,21.2,21.7,""
"Italian herb Egg Whites with Courgette Noodles (Zoodles) & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,263,259,-2,32.6,33.4,7,9.9,9.4,9.5,""
"Lemon herb Salmon Fillet with Swede (Mashed) & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,622,619,-0,52.2,44.1,17.8,20.3,39.8,40.1,""
"Indian-spiced Tuna Steak with Shirataki Noodles & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,404,373,-8,52.8,47.9,6.4,8.9,16.7,16.1,""
"Mediterranean Lean Beef Mince (5%) with Shirataki Noodles & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,519,672,29,54.9,55.3,12.2,18.6,27.6,42.2,""
"Creamy herb Bacon (Smoked Back) with Cauliflower Rice & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,790,677,-14,49.2,41.4,8,13.8,61,52.3,""
"Italian herb Salmon Fillet with Celeriac Mash & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,712,721,1,47.2,38.6,12.8,13.9,53.8,55.1,""
"Garlic & chilli Chicken Thigh (Skin-On) with Celeriac Mash & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,668,705,6,52.9,57.5,18.8,24.4,42.4,43,""
"Asian-inspired Egg Whites with Courgette Noodles (Zoodles) & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,308,360,17,27.5,30.5,13.6,16.1,15.7,21,""
"Mexican-style Pork Tenderloin with Swede (Mashed) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,588,592,1,48,49.9,11.5,14.1,36.5,37.2,""
"Mexican-style King Prawns with Swede (Mashed) & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,509,501,-2,44.4,39.7,11.8,18.2,30.8,31.7,""
"Indian-spiced Egg Whites with Cabbage (Shredded) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,411,417,1,21.4,22.6,9.3,13,30.5,31.1,""
"Mediterranean Firm Tofu with Turnip (Roasted) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,495,498,1,37.7,38.8,19.6,24.3,32.5,32.3,""
"Garlic & chilli Whole Eggs with Swede (Mashed) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,610,593,-3,24.6,25.8,13.5,16.5,50,47.6,""
"BBQ Whole Eggs with Cabbage (Shredded) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,458,435,-5,36.4,36.5,10,13.4,28.6,26.1,""
"Moroccan-spiced Chicken Thigh (Skin-On) with Swede (Mashed) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,622,591,-5,45,51.3,12.3,19,41.6,34.6,""
"Cajun Halloumi with Celeriac Mash & Baby Spinach","20260701120000_seed_owner_keto_meals.sql",apply,2,870,845,-3,58.3,52.1,19.7,25.4,62.2,62.1,""
"BBQ Salmon Fillet with Courgette Noodles (Zoodles) & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,597,599,0,52.4,46.5,12,13.3,40,40.3,""
"BBQ Beef Ribeye Steak with Swede (Mashed) & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,768,728,-5,49.5,51,17.8,19.5,56,50.8,""
"Italian herb Whole Eggs with Broccoli Florets & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,518,494,-5,31.9,32.4,18.7,18.7,36.5,34.1,""
"Indian-spiced Turkey Breast with Cauliflower Rice & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,472,452,-4,59.7,52.2,13.1,20.4,19.3,19.8,""
"Cajun Lean Beef Mince (5%) with Broccoli Florets & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,509,657,29,52.6,52,11.2,15.8,27.5,42.4,""
"BBQ Cod Fillet with Cabbage (Shredded) & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,287,246,-14,43.6,36.8,10.7,13.4,5.9,6,""
"Mexican-style Mackerel with Swede (Mashed) & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,611,632,3,42.9,46.3,17.5,21.6,40.3,42.4,""
"BBQ Lean Beef Mince (5%) with Cabbage (Shredded) & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,537,679,26,56.5,56.6,14.6,18.6,27.7,42.4,""
"Garlic & chilli Sardines with Cauliflower Rice & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,527,538,2,49.2,52.6,8,12.5,30.4,31.6,""
"Cajun Beef Ribeye Steak with Broccoli Florets & Mixed Salad Leaves","20260701120000_seed_owner_keto_meals.sql",apply,2,761,728,-4,54.1,55.7,16.4,17.9,55.1,50.1,""
"Creamy herb Salmon Fillet with Turnip (Roasted) & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,693,803,16,46.1,38.9,9.7,22.2,53.5,61,""
"Garlic & chilli Beef Ribeye Steak with Celeriac Mash & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,773,758,-2,50.5,52.7,19.1,23,56.2,52,""
"Garlic & chilli Cod Fillet with Cauliflower Rice & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,418,385,-8,48.9,42.4,13.1,18.2,17.8,18,""
"Mexican-style Turkey Breast with Shirataki Noodles & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,378,353,-7,54,46.1,6.8,11.9,12.9,13.6,""
"Garlic & chilli Bacon (Smoked Back) with Courgette Noodles (Zoodles) & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,807,626,-22,57.8,50.4,5.7,10,59.5,43.6,""
"Mexican-style Chicken Breast with Broccoli Florets & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,540,543,1,65.2,66.2,16.7,18.1,23.2,23.8,""
"Indian-spiced Cod Fillet with Turnip (Roasted) & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,377,343,-9,43.1,36.6,10.5,13.3,15.8,16.3,""
"BBQ Whole Eggs with Celeriac Mash & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,528,533,1,30.7,32.5,21.1,22.8,36.4,36.2,""
"Peri-peri Pork Belly (Slow-Roasted) with Cauliflower Rice & Green Beans","20260701120000_seed_owner_keto_meals.sql",apply,2,890,1126,27,46.2,32.3,6.8,15.3,72.1,104.6,""
